code_9d,code_6d,system,subcode,description,source_file
,151-175,151,175,,VMRS_HB_COMPLETE_v20 page 1_pages_51-75.md
,001-999,001,999,,VMRS_HB_COMPLETE_v20 page 1_pages_51-75.md
,126-150,126,150,,VMRS_HB_COMPLETE_v20 page 1_pages_51-75.md
,226-250,226,250,,VMRS_HB_COMPLETE_v20 page 1_pages_51-75.md
,276-300,276,300,,VMRS_HB_COMPLETE_v20 page 1_pages_51-75.md
,351-375,351,375,,VMRS_HB_COMPLETE_v20 page 1_pages_51-75.md
,176-200,176,200,,VMRS_HB_COMPLETE_v20 page 1_pages_51-75.md
,420-620,420,620,6×4,VMRS_HB_COMPLETE_v20 page 1_pages_51-75.md
,251-275,251,275,,VMRS_HB_COMPLETE_v20 page 1_pages_51-75.md
,301-325,301,325,,VMRS_HB_COMPLETE_v20 page 1_pages_51-75.md
,326-350,326,350,,VMRS_HB_COMPLETE_v20 page 1_pages_51-75.md
,201-225,201,225,,VMRS_HB_COMPLETE_v20 page 1_pages_51-75.md
,472-072,472,072,"0,74",VMRS_HB_COMPLETE_v20 page 1_pages_51-75.md
