code_9d,code_6d,system,subcode,description,source_file
,151-175,151,175,,VMRS_HB_COMPLETE_v20 page 1_pages_76-100.md
,176-200,176,200,,VMRS_HB_COMPLETE_v20 page 1_pages_76-100.md
,201-225,201,225,,VMRS_HB_COMPLETE_v20 page 1_pages_76-100.md
,226-250,226,250,,VMRS_HB_COMPLETE_v20 page 1_pages_76-100.md
,251-275,251,275,,VMRS_HB_COMPLETE_v20 page 1_pages_76-100.md
,276-300,276,300,,VMRS_HB_COMPLETE_v20 page 1_pages_76-100.md
,674-420,674,420,620,VMRS_HB_COMPLETE_v20 page 1_pages_76-100.md
,301-325,301,325,,VMRS_HB_COMPLETE_v20 page 1_pages_76-100.md
,326-350,326,350,,VMRS_HB_COMPLETE_v20 page 1_pages_76-100.md
,420-622,420,622,6×4,VMRS_HB_COMPLETE_v20 page 1_pages_76-100.md
,422-622,422,622,6×4,VMRS_HB_COMPLETE_v20 page 1_pages_76-100.md
,275-300,275,300,,VMRS_HB_COMPLETE_v20 page 1_pages_76-100.md
,472-072,472,072,"0,4",VMRS_HB_COMPLETE_v20 page 1_pages_76-100.md
,000-199,000,199,"3 SPD,DBL RED",VMRS_HB_COMPLETE_v20 page 1_pages_76-100.md
,000-449,000,449,"3 SPD 3 SPD,SGL RED DBL RED",VMRS_HB_COMPLETE_v20 page 1_pages_76-100.md
009-101-125,,009,101,,VMRS_HB_COMPLETE_v20 page 1_pages_76-100.md
,000-999,000,999,,VMRS_HB_COMPLETE_v20 page 1_pages_76-100.md
