part,description,manufacturer,vendor_name
WHI342-11.5-18124,INT PANEL,nan,
200-97565-K,INTERNAL RELEASE PAN,nan,
JF-100-B,JACK FOOT,nan,
TJA5000TR,"JACK, A-FRAM",nan,
115523A,"JACK, BULLDOG TW 5K W/PLT",nan,
TJ01RT-HD,"JACK, STABILISING, 18""",nan,
406-202,JUNCTION BLOCK 3/8 STUD RED,nan,
916115,KAZOO,nan,
KEE-BRACKET,KEE-BRACKET,nan,
Z250,"KEY, Z250 CODE",nan,
5602-02-020,"KIT SOLENOID SERVICE, ARCTIC",PACCAR CORPORATION,PACCAR CORPORATION
RF-204720QKIT,"KIT, 305B03KIT 20K STD",nan,
TW-191-11,"KIT, BRAKE AWAY ELECTRIC BRAKE",nan,
2512556C92,"KIT, DUCT OPEN BREATHER CONVER",NAVISTAR INTERNATIONAL TRANSPORTATION CORP.,NAVISTAR INTERNATIONAL TRANSPORTATION CORP.
CWC-7004,"KIT, HEAD LIGHT CONVERSION",nan,
AP9774,"KIT, LINEAR ACTUATOR",nan,
K006390,"KIT, REEFER REFURB (REMAN OPS)",nan,
KP064-B,"KIT, REMOTE ACCESS",nan,
JSTB10149,"KIT, RETAINER PLATE",JOST INTERNATIONAL,JOST INTERNATIONAL
7831206,"KIT, U BOLT 7/8""X3""X12""",nan,
SK8760,"KIT, VENT SERVICE",KALMAR INDUSTRIES,KALMAR INDUSTRIES
ICM2003330,"KIT,CIRCUIT,BOARD",KALMAR INDUSTRIES,KALMAR INDUSTRIES
SPC,"KNOB, SPEC ORDR 2574FT SHIFTER",nan,
HD60010R-AMP,LAMP,HEAVY-DUTY LIGHTING,HEAVY-DUTY LIGHTING
9009071,LAMP,nan,
133B,LAMP,nan,
2857528-01,"LATCH HANDLE, PLATFORM",nan,
K-4002,"LATCH, ASSY",nan,
1.45139E+11,"LATCH, MICRO",nan,
2.95557E+11,LED DRIVER TRANS POWER SUPPLY,nan,
G2385332,LED WORKLIGHT,nan,
929527-407MX,"LEVER, CABLE, FORE/AFT, LOCK",ISRINGHAUSEN INC.,ISRINGHAUSEN INC.
CPJ-U104,LICENSE PLATE HOLDER,nan,
SINGLEPUMPLIFTGATE,LIFT GATE- SINGLE PUMP,nan,
NV3075,LIGHT,nan,
MTLW50050-6,"LIGHT, LED, WORK LAMP, 5"", ROU",nan,
FF60M,"LIGHT, SPRING TIMER",INTERMATIC INC,INTERMATIC INC
607105-04SB,"LIGHT, STOP/TURN/TAIL LAMP, LE",nan,
50000K-LED,LIGHT-LED,nan,
DC48KIT,"LINE KIT, DUAL CHARGE",nan,
CNR-HY149,"LINER, CORNER","AURORA PARTS AND ACCESSORIES, LLC","AURORA PARTS AND ACCESSORIES, LLC"
90X96X250,"LINING, TRAILER - KEMLITE - RO",nan,
PD-20-1108-135,"LINK, U-BENT",nan,
711901,"LIP ASSM, 7X45K 18 STD",nan,
712959,LIP SHAFT,nan,
6000779,LOCK,nan,
OH280350B,LOCK ASSY,nan,
AA3492,LOCK SET,nan,
TGL77,"LOCK, SECURITY W/ STYLE",nan,
GDP40107628,LONG BLOW OUT PLATES,GREAT DANE TRAILERS,GREAT DANE TRAILERS
16103,LUG BRACE PLATE,nan,
16834,LUG BRACE PLATE,nan,
HUB14K,"LYNX HUB ADAPTER, 14K",LYNX POWER SYSTEMS,
S-24886,M/F BRACKET KIT,nan,
MAGNETKIT,MAGNET KIT,nan,
944333-6,MAIN HARNESS 35 FT,IMPERIAL PRODUCTS,IMPERIAL PRODUCTS
LG259,MAINTENANCE KIT,JOHN DEERE LTD.,
MS2467,MANIFOLD GASKET SET,nan,
906639-01,MAXON T/C W/OUT HARNESS,"MAXON INDUSTRIES, INC.","MAXON INDUSTRIES, INC."
RFPLTRSM7580P5R308AO4IFT,MDRIVE,nan,
VES-AC-13,MEDCO PURCHASING IN WITH ROPE,nan,
OTC-9850,MELISSA BLUME,nan,
A4710690380,METAL SEAL DD15 EPA07/EPA10/EU,nan,
600-999,"METER, DATATRAC DIGITAL METER",nan,
CTT00024501OTT,MODULE,"OTTAWA TRUCK DIV., GULF WESTERN MFG. CO.","OTTAWA TRUCK DIV., GULF WESTERN MFG. CO."
11-00636,"MODULE, AC CONTROL",nan,
P27-6087-100060,"MODULE, DISTRIBUTION, POWER",PACCAR CORPORATION,PACCAR CORPORATION
DOCBAKE,"MODULE, DOC, BAKE/CLEAN",nan,
M174CVBS,MONITOR RVHD-ECSSM7000Q,nan,
MT011,"MONITOR, 7"" LCD",nan,
182-1129ZN,MOTOR 12 V MM27,nan,
140-01-4007,"MOTOR, PUMP",nan,
A2939,"MOUNT, TOURQUE",O'REILLY AUTO PARTS,O'REILLY AUTO PARTS
A2986,"MOUNT, TRANS",O'REILLY AUTO PARTS,O'REILLY AUTO PARTS
A3098,"MOUNT, TRANSMISSION",O'REILLY AUTO PARTS,O'REILLY AUTO PARTS
MB23LR,MOUNTING BRACKET,nan,
B302PAIR,MOUNTING BRACKET,nan,
HD-425SG2,MOUNTING KIT,EX-GUARD INDUSTRIES,EX-GUARD INDUSTRIES
13S01486,MOUNTING TAB,GREAT DANE TRAILERS,GREAT DANE TRAILERS
C3178,"MOUNTING, ENGINE",O'REILLY AUTO PARTS,O'REILLY AUTO PARTS
K953480,NOSE RAIL,KIDRON BODY CO.,KIDRON BODY CO.
JOSTN-D-67-14AK,NOSE SUPPORT,JOST INTERNATIONAL,JOST INTERNATIONAL
127,"NYLON ROLLER  , CURTAIN",nan,
H206-10,OIL HOSE,nan,
GDP41709970X013.50,OUTER CHANNEL,GREAT DANE TRAILERS,GREAT DANE TRAILERS
6005665,"OUTPUT CARD, ASSY",nan,
OZM22,OZIUM 3.5 OUNCE NEW CAR AEROSO,nan,
286860-43,"P/F & C BAR ASSY. AL, 85X42,MG","MAXON INDUSTRIES, INC.","MAXON INDUSTRIES, INC."
286850-663,"P/F,F/O ASSY, AL85X(42+42+16","MAXON INDUSTRIES, INC.","MAXON INDUSTRIES, INC."
296320-12G,"P/F,F/O ASSY, AL85X(42+42+16)","MAXON INDUSTRIES, INC.","MAXON INDUSTRIES, INC."
DRAFT PAD,"PAD, FF DRAFT 36"" PROJ",nan,
5578537070,PAD-FR PANEL COVER,HINO MOTORS LTD.,HINO MOTORS LTD.
TRLGP-19,"PAN, ALUMINUM, TRL GLADHAND",nan,
CLO24GA,PANEL,nan,
S24C BTM PANEL,PANEL 9'2 X 24,nan,
5012A3,"PANEL, CENTER HACKNEY",nan,
68104-1PA0A,PANEL-IN,"NISSAN MOTOR CORPORATION IN USA, INC.","NISSAN MOTOR CORPORATION IN USA, INC."
60-25262UT,PERMALOGIC BOX,nan,
SE625206,"PHOTO SENSOR, DAR OP AC DEF",nan,
170.9005408,PILOT VALVE,"AUTOMANN, INC","AUTOMANN, INC"
22019C,"PIN,TURN SIGNAL CNCL",nan,
4057607C95,"PIPE, FLUID, ASSEMBLY ISX SUP",NAVISTAR INTERNATIONAL TRANSPORTATION CORP.,NAVISTAR INTERNATIONAL TRANSPORTATION CORP.
RD00001,"PLATE, HARNESS","PURKEY'S FLEET ELECTRIC, INC.","PURKEY'S FLEET ELECTRIC, INC."
GPD42102403-SS,"PLATE,VEHICLE IDENTIFICATION",nan,
URA220-385,"PLUG, 14LITER DETROIT CONN.",nan,
49YK49,"PLUG, STRAIGHT BLADE",nan,
800146253,POTENTIOMETER,nan,
A47215630828,PRESSURE SENSOR,nan,
40700837,PROTECTOR,GREAT DANE TRAILERS,GREAT DANE TRAILERS
HPC-13PTO,PTO CONTROL FOR LIFTING 5TH WH,KALMAR INDUSTRIES,KALMAR INDUSTRIES
5003850,PULL OUT DECK STEP,MICKEY BODY COMPANY INC. W.F.,MICKEY BODY COMPANY INC. W.F.
167170.2897,QR1C TYPE QUICK RELEASE VALVE,nan,
175801523,QUICK RELEASE VALVE,nan,
6105925,R SIDE DOOR LOCK ASSY,MICKEY BODY COMPANY INC. W.F.,MICKEY BODY COMPANY INC. W.F.
LX-14,R-134A HIGH AND LOW,nan,
GDA01-6621-A1,REAR CLEARANCE LIGHT HARNESS,nan,
DV271BT,"RECEIVER, AV DVD STEREO",nan,
CTT0002737,REGULATOR,"OTTAWA TRUCK DIV., GULF WESTERN MFG. CO.","OTTAWA TRUCK DIV., GULF WESTERN MFG. CO."
C2798,"REGULATOR, OUTLET PRESSURE",nan,
